Zak³ad Energetyczny U¿ytecznoœci Publicznej S.A.;ZEUP_PGED_P_1761;MB_WSOR_PGE_O1_5884;DDGD/ZEUP_PGED_P_1761/2017-03-17/479287;2017-03-17 10:40:25

PPE;URD;Data;01:00;Status;02:00;Status;03:00;Status;04:00;Status;05:00;Status;06:00;Status;07:00;Status;08:00;Status;09:00;Status;10:00;Status;11:00;Status;12:00;Status;13:00;Status;14:00;Status;15:00;Status;16:00;Status;17:00;Status;18:00;Status;19:00;Status;20:00;Status;21:00;Status;22:00;Status;23:00;Status;00:00;Status
PL_ZEWD_1408000677_01;;2017-03-09;30,5160;0;29,82;0;28,9440;0;29,40;0;29,3040;0;29,5320;0;35,0040;0;33,0840;0;33,0120;0;32,9280;0;36,84;0;37,32;0;54,1560;0;49,3320;0;39,0480;0;42,30;0;38,4120;0;50,8080;0;61,2840;0;49,7280;0;52,8840;0;45,3360;0;39,66;0;32,94;0
PL_ZEWD_1432001305_02;;2017-03-09;44,916240;0;43,556640;0;43,358880;0;42,444240;0;43,556640;0;45,1140;0;49,44;0;48,9456;0;39,008160;0;37,426080;0;40,367760;0;32,902320;0;42,815040;0;47,363520;0;49,860240;0;52,307520;0;53,963760;0;57,300960;0;60,835920;0;75,840960;0;76,063440;0;74,2836;0;70,748640;0;68,944080;0
PL_ZEWD_1434002713_04;;2017-03-09;14,6775;0;14,394250;0;14,188250;0;13,9050;0;14,1625;0;14,497250;0;11,046750;0;10,7635;0;10,583250;0;10,428750;0;10,4030;0;10,3515;0;10,1455;0;10,222750;0;10,068250;0;10,737750;0;10,9695;0;16,299750;0;20,265250;0;20,316750;0;20,7030;0;19,956250;0;20,007750;0;19,853250;0
PL_ZEWD_1434004823_05;;2017-03-09;3,7653425640;0;3,2800317450;0;3,1294180420;0;3,1126831860;0;3,58125915;0;4,3008579510;0;5,7902601210;0;6,5767983450;0;6,5600634890;0;6,3425103640;0;6,0580178140;0;5,9074041120;0;5,9743435350;0;6,0078132470;0;6,0914875260;0;6,3759800750;0;6,7776166150;0;7,5139502720;0;8,6184507580;0;9,1037615770;0;8,7188598930;0;7,6980336870;0;6,3090406520;0;4,8029036260;0
PL_ZEWD_1434004824_07;;2017-03-09;0,1448208680;0;0,1261550670;0;0,1203622320;0;0,1197185840;0;0,1377407370;0;0,1654176140;0;0,2227023120;0;0,2529537830;0;0,2523101340;0;0,2439427060;0;0,2330006850;0;0,22720785;0;0,2297824440;0;0,23106974;0;0,2342879820;0;0,2452300030;0;0,2606775620;0;0,2889980870;0;0,3314788750;0;0,3501446760;0;0,3353407650;0;0,2960782190;0;0,24265541;0;0,1847270630;0
PL_ZEWD_1434004825_09;;2017-03-09;0,1088328820;0;0,0948055330;0;0,0904522180;0;0,0899685160;0;0,1035121640;0;0,1243113370;0;0,1673607880;0;0,1900947680;0;0,1896110660;0;0,1833229440;0;0,1751000150;0;0,17074670;0;0,1726815060;0;0,17364891;0;0,1760674180;0;0,1842903470;0;0,1958991880;0;0,2171820630;0;0,2491063750;0;0,2631337240;0;0,2520085850;0;0,2225027810;0;0,18235554;0;0,1388223880;0
PL_ZEWD_1434004863_01;;2017-03-09;0,1448208680;0;0,1261550670;0;0,1203622320;0;0,1197185840;0;0,1377407370;0;0,1654176140;0;0,2227023120;0;0,2529537830;0;0,2523101340;0;0,2439427060;0;0,2330006850;0;0,22720785;0;0,2297824440;0;0,23106974;0;0,2342879820;0;0,2452300030;0;0,2606775620;0;0,2889980870;0;0,3314788750;0;0,3501446760;0;0,3353407650;0;0,2960782190;0;0,24265541;0;0,1847270630;0
PL_ZEWD_1434004866_07;;2017-03-09;3,8377529980;0;3,3431092780;0;3,1895991580;0;3,1725424780;0;3,6501295180;0;4,3835667580;0;5,9016112770;0;6,7032752370;0;6,6862185570;0;6,4644817170;0;6,1745181570;0;6,0210080370;0;6,0892347570;0;6,1233481170;0;6,2086315170;0;6,4985950770;0;6,9079553960;0;7,6584493160;0;8,7841901950;0;9,2788339150;0;8,8865302750;0;7,8460727960;0;6,4303683570;0;4,8952671570;0
PL_ZEWD_1434004867_09;;2017-03-09;0,0362052170;0;0,0315387670;0;0,0300905580;0;0,0299296460;0;0,0344351840;0;0,0413544030;0;0,0556755780;0;0,0632384460;0;0,0630775340;0;0,0609856770;0;0,0582501710;0;0,0568019630;0;0,0574456110;0;0,0577674350;0;0,0585719950;0;0,0613075010;0;0,0651693910;0;0,0722495220;0;0,0828697190;0;0,0875361690;0;0,0838351910;0;0,0740195550;0;0,0606638520;0;0,0461817660;0
PL_ZEWD_1434004908_05;;2017-03-09;2,0999025840;0;1,8292484730;0;1,74525237;0;1,7359194690;0;1,99724068;0;2,3985553960;0;3,2291835290;0;3,6678298460;0;3,6584969460;0;3,5371692410;0;3,3785099350;0;3,2945138320;0;3,3318454330;0;3,3505112340;0;3,3971757360;0;3,5558350420;0;3,7798246510;0;4,1904722670;0;4,8064436920;0;5,0770978030;0;4,8624410940;0;4,2931341710;0;3,51850344;0;2,6785424070;0
