DR_ENID_EUPX_20170527_13.csv;;;;;;;;;;;;;;;
kOSD;ENID;;;;;;;;;;;;;;
kSE;EUPX;;;;;;;;;;;;;;
DCW;27.05.2017 10:19;;;;;;;;;;;;;;
NR;1;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
PPE;Nr licznika;Kod OT;Taryfa;Strefa;Data od;Data do;Wskazanie poprzednie;Wskazanie biezace;Zuzycie brutto[kWh];Straty[kWh];Mnozna;Wersja danych;Status Odczytu;Status Rozliczenia;Rodzaj Odczytu
ENID_4081037150;97612694;0;C12A;2;26.04.2017;25.05.2017;4249,38;4266,1;669;0;40;1;Z;O;R
ENID_4081037150;97612694;0;C12A;3;26.04.2017;25.05.2017;3295,55;3370,78;3009;0;40;1;Z;O;R
ENID_4081037151;97612689;0;C12A;2;26.04.2017;25.05.2017;4419,05;4437,38;550;0;30;1;Z;O;R
ENID_4081037151;97612689;0;C12A;3;26.04.2017;25.05.2017;3711,36;3807,89;2896;0;30;1;Z;O;R
ENID_4081037152;97612688;0;C12A;2;26.04.2017;25.05.2017;7193,14;7216,18;691;0;30;1;Z;O;R
ENID_4081037152;97612688;0;C12A;3;26.04.2017;25.05.2017;5494,8;5615,8;3630;0;30;1;Z;O;R
ENID_4081037153;97612698;0;C12A;2;26.04.2017;25.05.2017;6450,68;6475,03;487;0;20;1;Z;O;R
ENID_4081037153;97612698;0;C12A;3;26.04.2017;25.05.2017;5816,27;5949,98;2674;0;20;1;Z;O;R
ENID_4081037154;97612699;0;C12A;2;26.04.2017;25.05.2017;4849,8;4875,64;775;0;30;1;Z;O;R
ENID_4081037154;97612699;0;C12A;3;26.04.2017;25.05.2017;4370,27;4510,42;4205;0;30;1;Z;O;R
ENID_4081037155;97612691;0;C12A;2;26.04.2017;25.05.2017;4271,03;4290,43;776;0;40;1;Z;O;R
ENID_4081037155;97612691;0;C12A;3;26.04.2017;25.05.2017;3468,49;3554,87;3455;0;40;1;Z;O;R
ENID_4081037156;97612695;0;C12A;2;26.04.2017;25.05.2017;5300,81;5319,11;366;0;20;1;Z;O;R
ENID_4081037156;97612695;0;C12A;3;26.04.2017;25.05.2017;4829,03;4922,86;1877;0;20;1;Z;O;R
ENID_4081037160;97612696;0;C12A;2;26.04.2017;25.05.2017;6523,74;6542,61;755;0;40;1;Z;O;R
ENID_4081037160;97612696;0;C12A;3;26.04.2017;25.05.2017;4530,96;4622,75;3671;0;40;1;Z;O;R
ENID_4081037161;97612693;0;C12A;2;26.02.2017;25.03.2017;4571,07;4614,3;1729;0;40;1;Z;F;R
ENID_4081037161;97612693;0;C12A;2;26.04.2017;25.05.2017;4637,37;4662,83;1018;0;40;1;Z;O;R
ENID_4081037161;97612693;0;C12A;3;26.02.2017;25.03.2017;4424,15;4524,14;4000;0;40;1;Z;F;R
ENID_4081037161;97612693;0;C12A;3;26.04.2017;25.05.2017;4618,73;4730,42;4468;0;40;1;Z;O;R
