DR_ENID_EUPX_20170727_22.csv;;;;;;;;;;;;;;;
kOSD;ENID;;;;;;;;;;;;;;
kSE;EUPX;;;;;;;;;;;;;;
DCW;2017-07-27 10:23:21;;;;;;;;;;;;;;
NR;1;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
PPE;Nr licznika;Kod OT;Taryfa;Strefa;Data od;Data do;Wskazanie poprzednie;Wskazanie biezace;Zuzycie brutto[kWh];Straty[kWh];Mnozna;Wersja danych;Status Odczytu;Status Rozliczenia;Rodzaj Odczytu
ENID_4081037150;97612694;0;C12A;2;2017-06-26;2017-07-25;4282,18;4302,11;797;0;40;1;Z;O;R
ENID_4081037150;97612694;0;C12A;3;2017-06-26;2017-07-25;3456,96;3552,16;3808;0;40;1;Z;O;R
ENID_4081037151;97612689;0;C12A;2;2017-06-26;2017-07-25;4472,32;4519,55;1417;0;30;1;Z;O;R
ENID_4081037151;97612689;0;C12A;3;2017-06-26;2017-07-25;3940,59;4139,13;5956;0;30;1;Z;O;R
ENID_4081037152;97612688;0;C12A;2;2017-06-26;2017-07-25;7237,5;7277;1185;0;30;1;Z;O;R
ENID_4081037152;97612688;0;C12A;3;2017-06-26;2017-07-25;5731,63;5921,77;5704;0;30;1;Z;O;R
ENID_4081037153;97612698;0;C12A;2;2017-06-26;2017-07-25;6499,9;6526,76;537;0;20;1;Z;O;R
ENID_4081037153;97612698;0;C12A;3;2017-06-26;2017-07-25;6081,71;6225,96;2885;0;20;1;Z;O;R
ENID_4081037154;97612699;0;C12A;2;2017-06-26;2017-07-25;4900,03;4925,27;757;0;30;1;Z;O;R
ENID_4081037154;97612699;0;C12A;3;2017-06-26;2017-07-25;4645,95;4778,3;3971;0;30;1;Z;O;R
ENID_4081037155;97612691;0;C12A;2;2017-06-26;2017-07-25;4304,63;4322,23;704;0;40;1;Z;O;R
ENID_4081037155;97612691;0;C12A;3;2017-06-26;2017-07-25;3627,58;3709,46;3275;0;40;1;Z;O;R
ENID_4081037156;97612695;0;C12A;2;2017-06-26;2017-07-25;5333,29;5348,07;296;0;20;1;Z;O;R
ENID_4081037156;97612695;0;C12A;3;2017-06-26;2017-07-25;4997,32;5071,22;1478;0;20;1;Z;O;R
ENID_4081037160;97612696;0;C12A;2;2017-06-26;2017-07-25;6565,82;6593,88;1123;0;40;1;Z;O;R
ENID_4081037160;97612696;0;C12A;3;2017-06-26;2017-07-25;4731,77;4862,38;5224;0;40;1;Z;O;R
ENID_4081037161;97612693;0;C12A;2;2017-02-26;2017-03-25;4571,07;4614,3;1729;0;40;1;Z;F;R
ENID_4081037161;97612693;0;C12A;2;2017-06-26;2017-07-25;4684,7;4711,99;1092;0;40;1;Z;O;R
ENID_4081037161;97612693;0;C12A;3;2017-02-26;2017-03-25;4424,15;4524,14;4000;0;40;1;Z;F;R
ENID_4081037161;97612693;0;C12A;3;2017-06-26;2017-07-25;4832,25;4946,42;4567;0;40;1;Z;O;R
