Data;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25
01-07-2017;14,770200;13,596000;13,596000;13,225200;11,927400;18,478200;17,427600;17,983800;17,365800;17,551200;17,860200;18,972600;22,495200;20,703000;18,725400;19,776000;21,012000;20,455800;21,568200;21,939000;22,186200;26,759400;20,888400;15,820800;
02-07-2017;14,708400;14,337600;13,472400;13,843200;13,163400;11,371200;19,158000;18,725400;19,034400;20,270400;21,197400;20,517600;22,804200;20,332200;20,703000;20,394000;22,557000;23,298600;24,040200;16,995000;19,961400;20,085000;16,253400;14,152200;
03-07-2017;13,472400;12,916200;12,854400;13,225200;12,360000;18,292800;16,315200;17,242200;20,332200;20,394000;24,225600;25,461600;27,995400;26,759400;25,399800;24,349200;31,950600;27,562800;26,450400;24,534600;30,776400;26,388600;18,416400;15,202800;
04-07-2017;13,410600;12,730800;11,989200;12,112800;11,680200;17,736600;17,860200;22,866000;19,961400;18,972600;28,737000;29,973000;30,282000;33,928200;32,259600;30,220200;27,686400;22,557000;18,107400;19,528800;18,292800;20,270400;17,798400;15,882600;
05-07-2017;14,955600;14,646600;14,028600;13,905000;13,287000;18,725400;19,096200;22,866000;22,557000;20,579400;20,085000;23,669400;24,411000;21,012000;24,040200;24,411000;22,495200;23,607600;20,085000;23,175000;24,102000;26,388600;22,742400;16,500600;
06-07-2017;15,573600;15,326400;14,523000;14,461200;13,596000;15,944400;14,646600;17,551200;18,910800;17,613000;19,034400;24,163800;24,163800;36,029400;34,669800;27,253800;27,871800;26,759400;30,220200;26,944800;25,894200;25,214400;22,742400;19,405200;
07-07-2017;17,489400;16,933200;15,820800;15,635400;14,337600;17,922000;20,517600;22,495200;24,225600;18,540000;25,647000;25,276200;21,630000;32,383200;35,040600;27,253800;24,905400;27,315600;29,046000;24,843600;22,742400;20,888400;19,652400;17,365800;
08-07-2017;17,118600;17,365800;16,562400;16,315200;15,511800;21,877200;19,776000;19,096200;19,776000;17,860200;16,129800;14,152200;15,697200;15,202800;14,275800;16,191600;21,197400;20,208600;18,972600;19,405200;21,259200;24,658200;23,854800;17,365800;
09-07-2017;15,017400;14,214000;13,905000;13,534200;13,781400;16,315200;16,562400;19,528800;19,590600;14,955600;16,068000;18,910800;19,528800;20,394000;18,601800;19,219800;16,068000;15,202800;18,478200;18,601800;16,315200;19,837800;19,528800;16,933200;
10-07-2017;15,017400;13,966800;13,410600;13,410600;12,360000;19,899600;19,219800;23,422200;28,428000;25,276200;34,669800;36,153000;41,715000;48,883800;49,687200;40,911600;37,759800;36,091200;32,630400;26,883000;23,978400;23,484000;19,219800;16,747800;
11-07-2017;15,882600;17,304000;15,511800;15,017400;14,399400;20,826600;22,989600;20,023200;21,197400;21,321000;20,455800;19,652400;22,309800;25,338000;25,832400;22,309800;22,124400;22,742400;23,793000;23,484000;22,557000;26,265000;22,248000;15,759000;
