DP_ENID_EUPX_20180430_5.csv;;;;;;;;;;;;;;;;;;;;;;;;;;;
kOSD;ENID;;;;;;;;;;;;;;;;;;;;;;;;;;
kSE;EUPX;;;;;;;;;;;;;;;;;;;;;;;;;;
DCW;06-05-2018 23:35;;;;;;;;;;;;;;;;;;;;;;;;;;
DD;30-04-2018;;;;;;;;;;;;;;;;;;;;;;;;;;
VV;5;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;2A
ENID_4011004953;CP;24;.000,+;.000,+;.000,+;.000,+;.000,+;.000,+;.000,+;.000,+;.000,+;.000,+;.000,+;.000,+;.000,+;.000,+;.000,+;.000,+;.000,+;.000,+;.000,+;.000,+;.000,+;.000,+;.000,+;.000,+;.000,-
ENID_4081037155;CP;24;5.100,+;4.660,+;4.600,+;4.580,+;4.448,+;4.204,+;4.952,+;8.036,+;8.860,+;8.760,+;8.064,+;5.884,+;6.452,+;5.444,+;4.716,+;4.604,+;5.184,+;4.672,+;5.376,+;5.476,+;6.240,+;6.512,+;7.028,+;6.164,+;.000,-
ENID_4081037159;CP;24;22.506,+;22.092,+;21.912,+;22.416,+;23.424,+;21.972,+;22.596,+;26.010,+;26.754,+;26.664,+;26.550,+;27.372,+;27.126,+;28.848,+;26.004,+;26.364,+;28.602,+;28.884,+;29.400,+;28.818,+;31.116,+;29.226,+;26.838,+;27.126,+;.000,-
ENID_4081037157;CP;24;10.584,+;10.578,+;10.122,+;10.812,+;10.482,+;10.206,+;10.566,+;48.186,+;35.826,+;36.762,+;43.500,+;44.736,+;48.690,+;44.712,+;43.608,+;45.192,+;47.274,+;47.892,+;51.078,+;47.682,+;49.770,+;43.236,+;40.128,+;17.484,+;.000,-
ENID_4011004952;CP;24;.496,+;.568,+;.760,+;.584,+;.504,+;.832,+;1.080,+;.584,+;1.240,+;.600,+;.648,+;.688,+;.504,+;.680,+;1.000,+;.672,+;2.184,+;2.872,+;1.568,+;.688,+;.696,+;.712,+;.504,+;.576,+;.000,-
ENID_4081037148;CP;24;4.206,+;4.188,+;4.176,+;4.206,+;3.558,+;1.362,+;1.446,+;2.166,+;3.084,+;4.092,+;3.504,+;3.192,+;2.592,+;3.522,+;3.618,+;3.156,+;2.670,+;3.258,+;2.754,+;2.718,+;4.068,+;5.700,+;4.638,+;4.536,+;.000,-
ENID_4081037147;CP;24;44.796,+;42.810,+;41.898,+;40.992,+;46.500,+;58.710,+;64.494,+;83.484,+;103.860,+;121.404,+;108.702,+;84.900,+;107.166,+;97.512,+;98.832,+;94.074,+;93.552,+;93.240,+;105.258,+;112.884,+;103.668,+;86.310,+;76.878,+;58.782,+;.000,-
ENID_4081037156;CP;24;.000,-;.000,-;.000,-;.000,-;.000,-;.000,-;.000,-;.000,-;.000,-;.000,-;.000,-;.000,-;.000,-;.000,-;.000,-;.000,-;.000,-;.000,-;.000,-;.000,-;.000,-;.000,-;.000,-;.000,-;.000,-
ENID_4081037161;CP;24;6.760,+;6.684,+;6.520,+;6.696,+;6.796,+;4.640,+;4.212,+;4.764,+;6.080,+;5.104,+;5.340,+;6.076,+;4.836,+;5.616,+;5.124,+;4.156,+;6.520,+;5.620,+;7.588,+;6.992,+;12.044,+;12.836,+;11.168,+;10.804,+;.000,-
ENID_4081037158;CP;24;14.286,+;14.250,+;14.154,+;13.998,+;13.992,+;13.998,+;14.388,+;20.736,+;21.948,+;23.214,+;35.868,+;37.146,+;32.466,+;36.948,+;37.830,+;37.458,+;36.696,+;36.780,+;36.810,+;36.714,+;36.468,+;36.090,+;27.774,+;16.044,+;.000,-
