DR_ENID_EUPX_20170627_16.csv;;;;;;;;;;;;;;;
kOSD;ENID;;;;;;;;;;;;;;
kSE;EUPX;;;;;;;;;;;;;;
DCW;2017-06-27 10:16:07;;;;;;;;;;;;;;
NR;1;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
PPE;Nr licznika;Kod OT;Taryfa;Strefa;Data od;Data do;Wskazanie poprzednie;Wskazanie biezace;Zuzycie brutto[kWh];Straty[kWh];Mnozna;Wersja danych;Status Odczytu;Status Rozliczenia;Rodzaj Odczytu
ENID_4081037150;97612694;0;C12A;2;2017-05-26;2017-06-25;4266,1;4282,18;643;0;40;1;Z;O;R
ENID_4081037150;97612694;0;C12A;3;2017-05-26;2017-06-25;3370,78;3456,96;3447;0;40;1;Z;O;R
ENID_4081037151;97612689;0;C12A;2;2017-05-26;2017-06-25;4437,38;4472,32;1048;0;30;1;Z;O;R
ENID_4081037151;97612689;0;C12A;3;2017-05-26;2017-06-25;3807,89;3940,59;3981;0;30;1;Z;O;R
ENID_4081037152;97612688;0;C12A;2;2017-05-26;2017-06-25;7216,18;7237,5;640;0;30;1;Z;O;R
ENID_4081037152;97612688;0;C12A;3;2017-05-26;2017-06-25;5615,8;5731,63;3475;0;30;1;Z;O;R
ENID_4081037153;97612698;0;C12A;2;2017-05-26;2017-06-25;6475,03;6499,9;498;0;20;1;Z;O;R
ENID_4081037153;97612698;0;C12A;3;2017-05-26;2017-06-25;5949,98;6081,71;2635;0;20;1;Z;O;R
ENID_4081037154;97612699;0;C12A;2;2017-05-26;2017-06-25;4875,64;4900,03;732;0;30;1;Z;O;R
ENID_4081037154;97612699;0;C12A;3;2017-05-26;2017-06-25;4510,42;4645,95;4066;0;30;1;Z;O;R
ENID_4081037155;97612691;0;C12A;2;2017-05-26;2017-06-25;4290,43;4304,63;568;0;40;1;Z;O;R
ENID_4081037155;97612691;0;C12A;3;2017-05-26;2017-06-25;3554,87;3627,58;2908;0;40;1;Z;O;R
ENID_4081037156;97612695;0;C12A;2;2017-05-26;2017-06-25;5319,11;5333,29;284;0;20;1;Z;O;R
ENID_4081037156;97612695;0;C12A;3;2017-05-26;2017-06-25;4922,86;4997,32;1489;0;20;1;Z;O;R
ENID_4081037160;97612696;0;C12A;2;2017-05-26;2017-06-25;6542,61;6565,82;928;0;40;1;Z;O;R
ENID_4081037160;97612696;0;C12A;3;2017-05-26;2017-06-25;4622,75;4731,77;4361;0;40;1;Z;O;R
ENID_4081037161;97612693;0;C12A;2;2017-02-26;2017-03-25;4571,07;4614,3;1729;0;40;1;Z;F;R
ENID_4081037161;97612693;0;C12A;2;2017-05-26;2017-06-25;4662,83;4684,7;875;0;40;1;Z;O;R
ENID_4081037161;97612693;0;C12A;3;2017-02-26;2017-03-25;4424,15;4524,14;4000;0;40;1;Z;F;R
ENID_4081037161;97612693;0;C12A;3;2017-05-26;2017-06-25;4730,42;4832,25;4073;0;40;1;Z;O;R
